date,area_type,area_code,area_name,metric,metric_name,value
2021-01-01,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,28879.0
2021-01-01,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1214.0
2021-01-01,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1161.0
2021-01-01,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1228.0
2021-01-02,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,2213.0
2021-01-02,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1920.0
2021-01-02,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2093.0
2021-01-02,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,55428.0
2021-01-03,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1639.0
2021-01-03,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,50664.0
2021-01-03,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,2221.0
2021-01-03,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1811.0
2021-01-04,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2659.0
2021-01-04,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,70920.0
2021-01-04,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,2383.0
2021-01-04,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2010.0
2021-01-05,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2386.0
2021-01-05,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,59600.0
2021-01-05,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,3054.0
2021-01-05,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1598.0
2021-01-06,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,2550.0
2021-01-06,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1489.0
2021-01-06,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,52752.0
2021-01-06,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1993.0
2021-01-07,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1187.0
2021-01-07,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,2201.0
2021-01-07,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,48132.0
2021-01-07,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1667.0
2021-01-08,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1598.0
2021-01-08,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1826.0
2021-01-08,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,43494.0
2021-01-08,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1187.0
2021-01-09,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1499.0
2021-01-09,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,975.0
2021-01-09,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1142.0
2021-01-09,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,36419.0
2021-01-10,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1425.0
2021-01-10,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,824.0
2021-01-10,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1176.0
2021-01-10,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,33749.0
2021-01-11,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,53519.0
2021-01-11,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,2092.0
2021-01-11,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1736.0
2021-01-11,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1245.0
2021-01-12,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1991.0
2021-01-12,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1601.0
2021-01-12,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1087.0
2021-01-12,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,45968.0
2021-01-13,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1464.0
2021-01-13,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1716.0
2021-01-13,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,1026.0
2021-01-13,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,42303.0
2021-01-14,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1629.0
2021-01-14,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1313.0
2021-01-14,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,872.0
2021-01-14,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,39658.0
2021-01-15,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1538.0
2021-01-15,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,821.0
2021-01-15,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1214.0
2021-01-15,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,37879.0
2021-01-16,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1178.0
2021-01-16,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,654.0
2021-01-16,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1005.0
2021-01-16,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,28413.0
2021-01-17,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,588.0
2021-01-17,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,26976.0
2021-01-17,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,827.0
2021-01-17,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1201.0
2021-01-18,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,880.0
2021-01-18,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1398.0
2021-01-18,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,41935.0
2021-01-18,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1744.0
2021-01-19,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,835.0
2021-01-19,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1081.0
2021-01-19,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,37055.0
2021-01-19,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1554.0
2021-01-20,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,753.0
2021-01-20,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,972.0
2021-01-20,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1582.0
2021-01-20,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,32679.0
2021-01-21,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1244.0
2021-01-21,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,29633.0
2021-01-21,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,716.0
2021-01-21,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,909.0
2021-01-22,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1231.0
2021-01-22,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,27741.0
2021-01-22,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,586.0
2021-01-22,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,772.0
2021-01-23,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,940.0
2021-01-23,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,542.0
2021-01-23,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,20425.0
2021-01-23,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,437.0
2021-01-24,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,15883.0
2021-01-24,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,412.0
2021-01-24,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,862.0
2021-01-24,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,397.0
2021-01-25,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,850.0
2021-01-25,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,27972.0
2021-01-25,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,589.0
2021-01-25,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1326.0
2021-01-26,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1182.0
2021-01-26,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,732.0
2021-01-26,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,25210.0
2021-01-26,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,606.0
2021-01-27,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1118.0
2021-01-27,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,583.0
2021-01-27,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,23899.0
2021-01-27,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,703.0
2021-01-28,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,475.0
2021-01-28,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1117.0
2021-01-28,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,658.0
2021-01-28,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,22523.0
2021-01-29,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,965.0
2021-01-29,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,600.0
2021-01-29,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,20363.0
2021-01-29,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,506.0
2021-01-30,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,487.0
2021-01-30,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,15524.0
2021-01-30,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,375.0
2021-01-30,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,781.0
2021-01-31,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,810.0
2021-01-31,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,370.0
2021-01-31,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,465.0
2021-01-31,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,14138.0
2021-02-01,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,491.0
2021-02-01,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,20765.0
2021-02-01,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1104.0
2021-02-01,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,612.0
2021-02-02,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,18193.0
2021-02-02,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,1051.0
2021-02-02,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,597.0
2021-02-02,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,424.0
2021-02-03,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,448.0
2021-02-03,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,17948.0
2021-02-03,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,939.0
2021-02-03,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,579.0
2021-02-04,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,501.0
2021-02-04,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,901.0
2021-02-04,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,374.0
2021-02-04,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,16717.0
2021-02-05,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,14461.0
2021-02-05,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,405.0
2021-02-05,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,940.0
2021-02-05,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,501.0
2021-02-06,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,300.0
2021-02-06,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,710.0
2021-02-06,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,10951.0
2021-02-06,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,359.0
