"","week","ac_week","season","ili","inf_A","inf_B","inf_all","inf_neg","inf_H3N2","inf_H1N1","inf_A_ns","num_spec","pn","pn_lb","pn_ub","pp","pp_lb","pp_ub","pA","pA_lb","pA_ub","pB","pB_lb","pB_ub","pH3","pH3_lb","pH3_ub","pH1","pH1_lb","pH1_ub"
"1",2011-10-10,1,1,9807,11,8,19,0,9,0,2,3319,0.994275384151853,0.9908929134329,0.996449574450032,0.00572461584814703,0.00355042554996802,0.00910708656709957,0.00331425128050618,0.0017440659891845,0.00611771066156978,0.00241036456764086,0.0011211948329129,0.00494823163372547,0.00332281737144471,0.00169523650599652,0.00546213885270872,0,0,0
"2",2011-10-17,1,1,9958,20,8,28,0,10,2,8,3433,0.991843868336732,0.988065757212417,0.994470152890967,0.00815613166326828,0.00552984710903265,0.0119342427875834,0.00582580833090591,0.00366011282074346,0.00915794199889305,0.00233032333236237,0.00108394958511844,0.00478416592540694,0.0048923482990412,0.00281089922902759,0.00767795972931365,0.000997378938971641,0.000121084274621428,0.00251390166836242
"3",2011-10-24,1,1,10298,31,12,43,0,12,0,19,3707,0.988400323711896,0.984258487390447,0.991491847463454,0.0115996762881036,0.00850815253654631,0.015741512609553,0.00836255732398166,0.00578610376207218,0.0120030167180034,0.00323711896412193,0.00175488946929503,0.00582084965792974,0.00834078987725574,0.00558404994742518,0.0116095979597315,0,0,0
"4",2011-10-31,1,1,11396,29,9,38,0,17,1,11,4038,0.990589400693413,0.986967492022668,0.993240484392659,0.00941059930658742,0.00675951560734052,0.0130325079773323,0.00718177315502724,0.00490344175223291,0.0104406899739104,0.00222882615156018,0.00108812613658504,0.0043922961402848,0.00682252783365497,0.0043696357444791,0.0101747506633521,0.000391775220603504,7.38554858017656e-06,0.00142316381704377
"5",2011-11-07,1,1,11507,34,15,49,0,15,2,17,4255,0.988484136310223,0.984675702626594,0.991379361848055,0.0115158636897767,0.00862063815194473,0.015324297373406,0.00799059929494712,0.00562577338623282,0.0112814520917076,0.00352526439482961,0.00204904100776682,0.0059544181114026,0.00711193699252021,0.00454479911805228,0.00993723450351918,0.000925791461260924,0.000146004490304356,0.00261331276957966
"6",2011-11-14,1,1,11725,32,11,43,0,15,0,17,4503,0.990450810570731,0.987035801062782,0.992997416094497,0.00954918942926938,0.0070025839055032,0.012964198937218,0.00710637352875861,0.00494625727736394,0.0101442040401799,0.00244281590051077,0.00128531772726682,0.00451116275092216,0.00706746546592085,0.00503661775538317,0.00946027863828938,0,0,0
"7",2012-10-01,1,1,9400,84,79,163,0,71,3,10,4345,0.962485615650173,0.956291556404518,0.967846030349474,0.0375143843498274,0.0321539696505255,0.0437084435954817,0.0193325661680092,0.015539802168499,0.0239982356927689,0.0181818181818182,0.0145110193473824,0.0227283304178993,0.0185602297621262,0.014921594598023,0.0228128705660473,0.000785555031853562,0.000146830041000626,0.00185503365553561
"8",2012-10-08,1,1,10213,99,98,197,0,67,7,25,4716,0.958227311280746,0.952021603505751,0.963673306127689,0.0417726887192536,0.036326693872311,0.0479783964942491,0.0209923664122137,0.0171779623997,0.0256066003682288,0.0207803223070399,0.0169863043681745,0.0253746234388244,0.0191073009170538,0.0155292309020866,0.0230729850516108,0.00203094291968619,0.000829983283971088,0.00375414574174217
"9",2012-10-15,1,1,10619,179,121,300,0,128,4,47,5009,0.940107805949291,0.933088323180363,0.946442529642454,0.0598921940507087,0.0535574703575465,0.0669116768196366,0.0357356757835895,0.0308475795849155,0.0413491038718616,0.0241565182671192,0.0201641071956534,0.0288952820147235,0.0346637379740083,0.0297349361860812,0.0399586158496071,0.00107796362801729,0.000295387210324266,0.00240388220160147
"10",2012-10-22,1,1,10860,200,139,339,0,148,3,49,4913,0.930999389375127,0.923463690044158,0.937851965070816,0.0690006106248728,0.0621480349291836,0.0765363099558425,0.0407083248524323,0.0354368286870842,0.0467106821038056,0.0282922857724405,0.0239180298661622,0.033419740944114,0.0398940907182234,0.0346444256272579,0.0451768022815456,0.000814781990456059,0.000191769517488872,0.00197888431590906
"11",2012-10-29,1,1,10990,258,151,409,0,181,4,73,5149,0.920567100407846,0.912762427160902,0.927736471892556,0.0794328995921538,0.0722635281074442,0.0872375728390978,0.0501068168576423,0.0443844375175146,0.0565108993836664,0.0293260827345116,0.0249672859968421,0.0344013964815882,0.0488836432626425,0.0430237419610965,0.0546716602692188,0.00110280319567189,0.000303270677773549,0.00233468986555061
"12",2012-11-05,1,1,12676,388,231,619,0,269,5,114,6134,0.899087055754809,0.891213439757682,0.90645572534695,0.100912944245191,0.0935442746530499,0.108786560242318,0.0632539941310727,0.0573537092325042,0.0697082726163721,0.037658950114118,0.033100469574258,0.0428060373365233,0.0620164168246548,0.0559165790653498,0.0684124454206303,0.00115011101513519,0.000384819529771573,0.0023525308475217
"13",2012-11-12,1,1,13456,584,265,849,0,366,8,210,6365,0.866614296936371,0.857959675583757,0.874822504175535,0.133385703063629,0.125177495824465,0.142040324416243,0.0917517674783975,0.0848282599413842,0.0991732068407025,0.0416339355852317,0.0369227624660015,0.0469068836497561,0.0897801087156554,0.083196965423781,0.0970382174059356,0.00193772334699978,0.000838405919944287,0.00355156201519794
"14",2013-09-30,1,1,9732,158,26,184,0,10,64,84,4407,0.958248241434082,0.951811795814436,0.963871205152483,0.0417517585659179,0.0361287948475174,0.048188204185564,0.0358520535511686,0.0306496312919793,0.0418795985354647,0.00589970501474926,0.0039373200444598,0.00876513357233042,0.00479850674490006,0.00240183545937212,0.00814091950166216,0.0310007915170891,0.0259307972750797,0.0373242827422024
"15",2013-10-07,1,1,10461,193,28,221,0,21,57,115,5244,0.957856598016781,0.951974068038561,0.963057092667081,0.0421434019832189,0.0369429073329186,0.0480259319614393,0.0368039664378337,0.0319487722307004,0.0423499419530466,0.0053394355453852,0.0036188570486695,0.00781862459975249,0.00988325552179226,0.00645292342647451,0.0147721566866816,0.0268960043496939,0.0217720439479245,0.0325824053670981
"16",2013-10-14,1,1,10689,150,25,175,0,12,34,104,5320,0.967105263157895,0.961864772530446,0.971658485823709,0.0328947368421053,0.0283415141762912,0.0381352274695535,0.0281954887218045,0.0239897043291141,0.0330964806670668,0.00469924812030075,0.00310922647756694,0.00703991677231093,0.00729288999836616,0.00400331311455391,0.0117711683835841,0.0208615716224807,0.0158876074884392,0.0258331237560903
"17",2013-10-21,1,1,12062,183,14,197,0,16,65,102,5402,0.963532025175861,0.958096262903801,0.968296836551257,0.0364679748241392,0.0317031634487426,0.0419037370961995,0.0338763420955202,0.0292874658030234,0.0391403606250282,0.00259163272861903,0.00147549939078065,0.00446138438267665,0.00671160126605861,0.00406268730082303,0.0101708140174674,0.0273348578349904,0.0222754815386067,0.0321177476309964
"18",2013-10-28,1,1,12526,233,41,274,0,24,74,135,5853,0.953186400136682,0.947381022000693,0.958387928084511,0.046813599863318,0.0416120719154886,0.0526189779993068,0.0398086451392448,0.0350140883491309,0.0452171480381872,0.00700495472407313,0.00509545963376923,0.00958671021051129,0.00977053391058401,0.00631844718889749,0.0136222888959717,0.0301714682520835,0.0254847411601204,0.0349927519677288
"19",2013-11-04,1,1,13553,351,43,394,0,28,150,173,6765,0.941759053954176,0.93584629399792,0.947163767010684,0.0582409460458241,0.0528362329893163,0.0641537060020801,0.0518847006651885,0.04677884702496,0.0575062864193111,0.00635624538063562,0.00465951537119955,0.00863490775839387,0.00811527060142615,0.00559168416866212,0.0112817462207247,0.0437483344105974,0.0386599966081973,0.0486027565727785
"20",2014-09-29,1,1,10374,199,110,309,0,100,2,97,9567,0.967701473816243,0.963911884924762,0.971110089088701,0.0322985261837567,0.0288899109112995,0.0360881150752377,0.0208006689662381,0.0180785927591642,0.0239144313576596,0.0114978572175186,0.00950163863866866,0.0138957685325827,0.0204224315485039,0.0174690408173251,0.023438194797607,0.000414166657512896,5.23696088336358e-05,0.00114773460035039
"21",2014-10-06,1,1,11297,279,160,439,0,125,5,149,11036,0.960221094599493,0.95636448038532,0.96375345375791,0.0397789054005074,0.0362465462420898,0.0436355196146805,0.0252808988764045,0.0224704767660481,0.0284267922628589,0.0144980065241029,0.0123889705236646,0.0169517595640246,0.0243130733926906,0.0213863917564774,0.0273211793215098,0.000951505420710075,0.000327639752269139,0.00202263678837137
"22",2014-10-13,1,1,12127,419,164,583,0,226,7,186,11729,0.950294142723165,0.946167141735721,0.954123088372517,0.0497058572768352,0.0458769116274827,0.0538328582642789,0.0357234205814647,0.0324729699751295,0.0392817433873295,0.0139824366953704,0.0119715682730779,0.0163179256172936,0.0347249268937256,0.0314821332717142,0.0381825299897089,0.00107059476205376,0.000392398101443516,0.0020521417455937
"23",2014-10-20,1,1,12474,417,127,544,0,212,5,200,11385,0.9522178304787,0.948099215004114,0.956027963373674,0.0477821695213,0.0439720366263255,0.0519007849958856,0.0366271409749671,0.0332880789428189,0.0402827684359651,0.0111550285463329,0.00934383045985977,0.0133034802737224,0.0358299179095478,0.0323383132076715,0.039228731489289,0.000842936902705014,0.000267302463232005,0.00167539229167097
"24",2014-10-27,1,1,12490,591,135,726,0,295,4,292,11525,0.937006507592191,0.932378909141822,0.941340034747262,0.0629934924078091,0.0586599652527375,0.0676210908581781,0.0512798264642082,0.0473585861675867,0.0555033165583388,0.0117136659436009,0.00986584474742748,0.0138940462630207,0.0506811476522758,0.0465092283017966,0.0544679276079018,0.000694218162709668,0.000195379489127809,0.00156389411648515
"25",2014-11-03,1,1,14102,1001,155,1156,0,506,6,489,12918,0.910512463229602,0.905427615296771,0.915351315094356,0.0894875367703979,0.0846486849056445,0.094572384703229,0.0774887753522217,0.0729651344099196,0.082265735905214,0.0119987614181762,0.0102252324802182,0.0140684031370937,0.076440009161796,0.0718218939174337,0.0811569413896466,0.000904387680110898,0.000320541505089807,0.00175755714463859
"26",2015-06-15,1,1,6079,74,78,152,0,50,2,22,6132,0.975212002609263,0.970925146936887,0.978891399846413,0.0247879973907371,0.021108600153587,0.0290748530631125,0.0120678408349641,0.00955182245610802,0.0152129275726603,0.012720156555773,0.0101320244022623,0.0159360578210187,0.011630013611796,0.00914808127205642,0.0143239733842102,0.000471808000315406,5.43286222639317e-05,0.0012393721830027
"27",2015-06-22,1,1,6129,75,46,121,0,51,0,24,5557,0.978225661328055,0.973947557119667,0.981827613578307,0.0217743386719453,0.0181723864216926,0.0260524428803331,0.0134964909123628,0.0107012545655214,0.0169836925338201,0.00827784775958251,0.00613484929545607,0.0111256090481141,0.0135250254815524,0.010749400239499,0.0167809910351979,0,0,0
"28",2015-06-29,1,1,5416,96,33,129,0,59,2,35,5230,0.975334608030593,0.970665817138795,0.97928983153976,0.0246653919694073,0.0207101684602403,0.0293341828612046,0.0183556405353728,0.0149690980419569,0.0224676895910034,0.00630975143403442,0.00441694644473318,0.00895908275946402,0.0177525383810478,0.0144339618365655,0.0214630599307577,0.000610529010839311,7.20760790675551e-05,0.00171608727961075
"29",2015-07-06,1,1,5291,62,36,98,0,40,4,18,5253,0.981343993908243,0.977213489773177,0.984752800245429,0.0186560060917571,0.0152471997545716,0.0227865102268233,0.0118027793641729,0.00913482128466787,0.0152073159740858,0.00685322672758424,0.00487459890233859,0.00958293827426759,0.0107394234914905,0.00814369231971696,0.0137526189988505,0.00108339983048493,0.00032159421548551,0.00227413894541842
"30",2015-07-13,1,1,5025,49,37,86,0,35,3,11,5034,0.982916170043703,0.978841346415754,0.986234206770121,0.0170838299562972,0.0137657932298793,0.0211586535842456,0.00973381009137863,0.00728525280771442,0.0129571587990409,0.00735001986491855,0.00525368743227802,0.0102288850598746,0.00890428738146056,0.00648463435782442,0.0118368170621565,0.000737793732444605,0.000161526364250393,0.00178916239261588
"31",2015-07-20,1,1,4879,57,23,80,0,34,4,19,4802,0.983340274885464,0.979199620936962,0.986686140630533,0.0166597251145356,0.0133138593694666,0.0208003790630376,0.0118700541441066,0.00908267217424354,0.0154640938918753,0.00478967097042899,0.00311055235786398,0.00730182040515196,0.0107265607526335,0.00764882180669247,0.0135248608199209,0.00123306037166298,0.000345459001227461,0.00269241230720847
"32",2016-02-29,1,1,28228,7754,2330,10084,28483,313,1886,5555,38567,0.738532942671196,0.73411066053652,0.742907571034605,0.261467057328804,0.257092428965395,0.26588933946348,0.201052713459694,0.197069762186977,0.205095404965291,0.0604143438691109,0.058067298488304,0.0628494275221647,0.0287492238147833,0.0256238605102552,0.0317147847014512,0.17234164671666,0.167690122754353,0.177166600903843
"33",2016-03-07,1,1,30319,9212,2759,11971,29905,313,2173,6726,41876,0.714132199828064,0.709773215738397,0.718451792675935,0.285867800171936,0.281548207324065,0.290226784261603,0.219982806380743,0.216029273880077,0.223987863027436,0.065884993791193,0.0635367814593853,0.0683132452709794,0.0276690085941759,0.0247441493434422,0.0306061011956053,0.192334031003493,0.187588965092501,0.19681090480235
"34",2016-03-14,1,1,24821,6798,2407,9205,29139,213,1514,5071,38344,0.759936365533069,0.755622195221745,0.764198299250127,0.240063634466931,0.235801700749873,0.244377804778255,0.177289797621531,0.173486599897465,0.181157870255864,0.0627738368453995,0.060376769867385,0.0652589716525609,0.0218962442620877,0.0190597232108047,0.0245421087358691,0.155434192710956,0.151339153836576,0.159560214754143
"35",2016-03-21,1,1,21874,5194,2161,7355,26163,198,1058,3938,33518,0.780565666209201,0.776087992087338,0.784978820612062,0.219434333790799,0.215021179387938,0.223912007912662,0.154961513216779,0.15111231353878,0.158890097221827,0.0644728205740199,0.0618785626912695,0.0671674637480377,0.0245089030404506,0.0214703787689864,0.0276557877665184,0.130530516112383,0.125952936957166,0.135258767733762
"36",2016-03-28,1,1,19537,3985,2060,6045,24629,180,807,2998,30674,0.802927560800678,0.79842172996374,0.807357249095516,0.197072439199322,0.192642750904484,0.20157827003626,0.129914585642564,0.126182312268976,0.133739944198676,0.0671578535567582,0.0643947071451623,0.0700300310539093,0.0237365729254125,0.0206848430972732,0.0268354264737329,0.106233185002754,0.101424849907326,0.110222997982676
"37",2016-04-04,1,1,16711,2673,1832,4505,21877,135,534,2004,26382,0.829239633083163,0.824631875578909,0.833751123905281,0.170760366916837,0.166248876094719,0.175368124421091,0.101319081191722,0.0977170953481204,0.105037757364468,0.0694412857251156,0.066417557958426,0.0725911561332445,0.0204394914707583,0.0174091071386588,0.0239129773851209,0.0809135308929946,0.0763121599623044,0.0852955418161813
"38",2017-02-27,1,1,30106,7164,2998,10162,34264,1492,54,5618,44426,0.771260072930266,0.7673196784671,0.775153425275096,0.228739927069734,0.224846574724904,0.2326803215329,0.161256921622473,0.157855255711149,0.164717356581374,0.0674830054472606,0.0651764497167875,0.0698647138746633,0.15559357631647,0.151963237769365,0.15917287855574,0.00563043125203409,0.00425213168689464,0.00712836289546756
"39",2017-03-06,1,1,28019,5953,3419,9372,32740,1256,50,4647,42112,0.777450607902736,0.773440671792971,0.781409779257736,0.222549392097264,0.218590220742264,0.226559328207029,0.141361132218845,0.138054600080277,0.144733321925842,0.0811882598784194,0.0786060162279975,0.083847252306825,0.135980630716435,0.132651544205247,0.139251915087781,0.00538863938927998,0.00408150490750452,0.00686310055675836
"40",2017-03-13,1,1,25474,4743,3876,8619,31217,909,28,3806,39836,0.783637915453359,0.779554523620874,0.787666439331159,0.216362084546641,0.212333560668841,0.220445476379126,0.119063158951702,0.115907102139258,0.122292967452834,0.0972989255949392,0.0944149637710051,0.100260881222559,0.115500002675724,0.112181484348317,0.118812442429728,0.00352385378738063,0.00241293292021067,0.00486807537181117
